fixture_id,date,round,status,home_team,away_team,home_goals,away_goals,winner,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_passes,away_passes,home_corners,away_corners,source
191792,2026-06-23T04:00:00+01:00,Group J,FT,Jordan,Algeria,1,2,away,28,72,8,17,4,8,251,641,1,10,TheStatsZone
191826,2026-06-23T18:00:00+01:00,Group K,FT,Portugal,Uzbekistan,5,0,home,66,34,17,7,9,2,624,327,3,2,TheStatsZone
191796,2026-06-23T21:00:00+01:00,Group L,FT,England,Ghana,0,0,draw,79,21,19,2,3,1,633,172,9,2,TheStatsZone
191810,2026-06-24T00:00:00+01:00,Group L,FT,Panama,Croatia,0,1,away,42,58,8,6,1,2,352,512,7,2,TheStatsZone
191822,2026-06-24T03:00:00+01:00,Group K,FT,Colombia,Congo DR,1,0,home,64,36,20,7,9,1,541,299,5,4,TheStatsZone
191864,2026-06-24T20:00:00+01:00,Group B,FT,Switzerland,Canada,2,1,home,55,45,6,13,4,7,443,339,2,7,TheStatsZone
191844,2026-06-24T20:00:00+01:00,Group B,FT,Bosnia and Herzegovina,Qatar,3,1,home,54,46,14,9,5,3,515,434,5,5,TheStatsZone
191866,2026-06-24T23:00:00+01:00,Group C,FT,Scotland,Brazil,0,3,away,46,54,14,21,5,9,499,606,7,6,TheStatsZone
191856,2026-06-24T23:00:00+01:00,Group C,FT,Morocco,Haiti,4,2,home,69,31,22,9,11,2,541,247,9,1,TheStatsZone
191854,2026-06-25T02:00:00+01:00,Group A,FT,Czechia,Mexico,0,3,away,52,48,13,11,1,5,398,386,5,1,TheStatsZone
191878,2026-06-25T02:00:00+01:00,Group A,FT,South Africa,Korea Republic,1,0,home,32,68,13,8,4,3,340,719,4,6,TheStatsZone
191842,2026-06-25T21:00:00+01:00,Group E,FT,Ecuador,Germany,2,1,home,39,61,7,11,3,3,378,592,3,2,TheStatsZone
191880,2026-06-25T21:00:00+01:00,Group E,FT,Curacao,Côte d'Ivoire,0,2,away,37,63,11,7,2,3,355,624,4,6,TheStatsZone
191872,2026-06-26T00:00:00+01:00,Group F,FT,Tunisia,Netherlands,1,3,away,29,71,10,20,4,7,258,647,4,6,TheStatsZone
191848,2026-06-26T00:00:00+01:00,Group F,FT,Japan,Sweden,1,1,draw,52,48,8,11,3,5,445,395,2,8,TheStatsZone
191884,2026-06-26T03:00:00+01:00,Group D,FT,Türkiye,USA,3,2,home,47,53,9,18,3,7,434,471,2,9,TheStatsZone
191860,2026-06-26T03:00:00+01:00,Group D,FT,Paraguay,Australia,0,0,draw,44,56,7,12,2,5,426,537,1,3,TheStatsZone
191876,2026-06-26T20:00:00+01:00,Group I,FT,Norway,France,1,4,away,43,57,10,18,4,9,421,555,4,5,TheStatsZone
191886,2026-06-26T20:00:00+01:00,Group I,FT,Senegal,Iraq,5,0,home,69,31,28,6,12,1,590,266,12,3,TheStatsZone
191858,2026-06-27T01:00:00+01:00,Group H,FT,Cabo Verde,Saudi Arabia,0,0,draw,51,49,15,7,2,3,451,444,4,2,TheStatsZone
191840,2026-06-27T01:00:00+01:00,Group H,FT,Uruguay,Spain,0,1,away,33,67,5,6,1,1,301,622,1,6,TheStatsZone
191850,2026-06-27T04:00:00+01:00,Group G,FT,Egypt,IR Iran,1,1,draw,61,39,15,13,3,4,589,367,8,2,TheStatsZone
191868,2026-06-27T04:00:00+01:00,Group G,FT,New Zealand,Belgium,1,5,away,46,54,6,35,2,10,436,525,5,8,TheStatsZone
191846,2026-06-27T22:00:00+01:00,Group L,FT,Panama,England,0,2,away,33,67,13,17,2,6,268,558,3,7,TheStatsZone
191874,2026-06-27T22:00:00+01:00,Group L,FT,Croatia,Ghana,2,1,home,53,47,8,6,4,1,523,455,3,2,TheStatsZone
191882,2026-06-28T00:30:00+01:00,Group K,FT,Congo DR,Uzbekistan,3,1,home,58,42,19,3,4,1,485,355,2,4,TheStatsZone
191870,2026-06-28T00:30:00+01:00,Group K,FT,Colombia,Portugal,0,0,draw,55,45,24,13,6,2,544,446,5,2,TheStatsZone
191862,2026-06-28T03:00:00+01:00,Group J,FT,Jordan,Argentina,1,3,away,27,73,5,12,1,4,285,801,2,6,TheStatsZone
191852,2026-06-28T03:00:00+01:00,Group J,FT,Algeria,Austria,3,3,draw,65,35,12,10,5,3,754,396,0,3,TheStatsZone
191894,2026-06-28T20:00:00+01:00,Round of 32,FT,South Africa,Canada,0,1,away,58,42,6,12,1,7,554,379,1,4,TheStatsZone
191908,2026-06-29T18:00:00+01:00,Round of 32,FT,Brazil,Japan,2,1,home,69,31,19,5,7,2,682,315,6,2,TheStatsZone
191914,2026-06-29T21:30:00+01:00,Round of 32,PEN,Germany,Paraguay,1,1,away,76,24,21,7,6,3,805,255,16,6,TheStatsZone
191916,2026-06-30T02:00:00+01:00,Round of 32,PEN,Netherlands,Morocco,1,1,away,30,70,6,11,2,5,373,878,5,8,TheStatsZone
191906,2026-06-30T18:00:00+01:00,Round of 32,FT,Côte d'Ivoire,Norway,1,2,away,47,53,14,9,5,4,401,473,14,3,TheStatsZone
191910,2026-06-30T22:00:00+01:00,Round of 32,FT,France,Sweden,3,0,home,61,39,25,8,12,3,551,350,9,1,TheStatsZone
191918,2026-07-01T03:00:00+01:00,Round of 32,FT,Mexico,Ecuador,2,0,home,43,57,15,7,3,1,316,410,3,8,TheStatsZone
191888,2026-07-01T17:00:00+01:00,Round of 32,FT,England,Congo DR,2,1,home,60,40,16,7,7,2,517,365,5,3,TheStatsZone
191912,2026-07-01T21:00:00+01:00,Round of 32,AET,Belgium,Senegal,3,2,home,52,48,19,19,5,5,701,639,4,2,TheStatsZone
191900,2026-07-02T01:00:00+01:00,Round of 32,FT,USA,Bosnia and Herzegovina,2,0,home,48,52,8,10,2,3,415,447,4,3,TheStatsZone
191904,2026-07-02T20:00:00+01:00,Round of 32,FT,Spain,Austria,3,0,home,64,36,23,5,10,0,629,346,9,0,TheStatsZone
191902,2026-07-03T00:00:00+01:00,Round of 32,FT,Portugal,Croatia,2,1,home,61,39,15,13,3,6,584,368,9,5,TheStatsZone
191890,2026-07-03T04:00:00+01:00,Round of 32,FT,Switzerland,Algeria,2,0,home,45,55,11,8,5,2,437,561,4,2,TheStatsZone
191898,2026-07-03T19:00:00+01:00,Round of 32,PEN,Australia,Egypt,1,1,away,42,58,16,14,1,3,505,722,4,7,TheStatsZone
191892,2026-07-03T23:00:00+01:00,Round of 32,AET,Argentina,Cabo Verde,3,2,home,64,36,22,16,10,5,849,476,8,8,TheStatsZone
191896,2026-07-04T02:30:00+01:00,Round of 32,FT,Colombia,Ghana,1,0,home,71,29,2,3,2,0,252,99,3,2,TheStatsZone
191928,2026-07-04T18:00:00+01:00,Round of 16,FT,Canada,Morocco,0,3,away,45,55,10,5,3,4,358,472,11,1,TheStatsZone
191920,2026-07-04T22:00:00+01:00,Round of 16,FT,Paraguay,France,0,1,away,24,76,5,15,0,5,183,568,2,12,TheStatsZone
191922,2026-07-05T21:00:00+01:00,Round of 16,FT,Brazil,Norway,1,2,away,34,66,14,9,4,5,331,681,5,5,TheStatsZone
191934,2026-07-06T02:00:00+01:00,Round of 16,FT,Mexico,England,2,3,away,67,33,20,6,5,5,453,244,12,2,TheStatsZone
191932,2026-07-06T20:00:00+01:00,Round of 16,FT,Portugal,Spain,0,1,away,45,55,10,15,2,6,427,530,3,7,TheStatsZone
191924,2026-07-07T01:00:00+01:00,Round of 16,FT,USA,Belgium,1,4,away,56,44,7,15,2,7,527,414,3,5,TheStatsZone
191930,2026-07-07T17:00:00+01:00,Round of 16,FT,Argentina,Egypt,3,2,home,64,36,19,5,7,2,602,349,6,1,TheStatsZone
191926,2026-07-07T21:00:00+01:00,Round of 16,PEN,Switzerland,Colombia,0,0,home,53,47,7,15,2,3,626,548,3,7,TheStatsZone
